MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
214612653,214612653,ED021401463,07-09-2015 14:15,Phase Angle B,27.59,deg,PL II
214612653,214612653,ED021401463,07-09-2015 14:20,Phase Angle B,34.42,deg,GN
214612653,214612653,ED021401463,07-09-2015 14:25,Phase Angle B,30.9,deg,GN
214612653,214612653,ED021401463,07-09-2015 14:30,Phase Angle B,25.94,deg,GN
214612653,214612653,ED021401463,07-09-2015 14:35,Phase Angle B,31.19,deg,GN
214612653,214612653,ED021401463,07-09-2015 14:40,Phase Angle B,28.14,deg,GN
214612653,214612653,ED021401463,07-09-2015 14:45,Phase Angle B,23.63,deg,GN
214612653,214612653,ED021401463,07-09-2015 14:50,Phase Angle B,32.59,deg,
214612653,214612653,ED021401463,07-09-2015 14:55,Phase Angle B,32.89,deg,
214612653,214612653,ED021401463,07-09-2015 15:00,Phase Angle B,24.86,deg,
214612653,214612653,ED021401463,07-09-2015 15:05,Phase Angle B,29.81,deg,
214612653,214612653,ED021401463,07-09-2015 15:10,Phase Angle B,28.06,deg,
214612653,214612653,ED021401463,07-09-2015 15:15,Phase Angle B,21.91,deg,
214612653,214612653,ED021401463,07-09-2015 15:20,Phase Angle B,23.6,deg,
214612653,214612653,ED021401463,07-09-2015 15:25,Phase Angle B,31.08,deg,
214612653,214612653,ED021401463,07-09-2015 15:30,Phase Angle B,33.11,deg,
214612653,214612653,ED021401463,07-09-2015 15:35,Phase Angle B,25.6,deg,
214612653,214612653,ED021401463,07-09-2015 15:40,Phase Angle B,30.06,deg,
214612653,214612653,ED021401463,07-09-2015 15:45,Phase Angle B,31.6,deg,
214612653,214612653,ED021401463,07-09-2015 15:50,Phase Angle B,25.81,deg,
214612653,214612653,ED021401463,07-09-2015 15:55,Phase Angle B,28.18,deg,
214612653,214612653,ED021401463,07-09-2015 16:00,Phase Angle B,32.79,deg,
214612653,214612653,ED021401463,07-09-2015 16:05,Phase Angle B,33.62,deg,
214612653,214612653,ED021401463,07-09-2015 16:10,Phase Angle B,21.72,deg,
214612653,214612653,ED021401463,07-09-2015 16:15,Phase Angle B,32.5,deg,
214612653,214612653,ED021401463,07-09-2015 16:20,Phase Angle B,32.2,deg,
214612653,214612653,ED021401463,07-09-2015 16:25,Phase Angle B,28.77,deg,
214612653,214612653,ED021401463,07-09-2015 16:30,Phase Angle B,25.84,deg,
214612653,214612653,ED021401463,07-09-2015 16:35,Phase Angle B,32.08,deg,
214612653,214612653,ED021401463,07-09-2015 16:40,Phase Angle B,33.15,deg,
214612653,214612653,ED021401463,07-09-2015 16:45,Phase Angle B,27.21,deg,
214612653,214612653,ED021401463,07-09-2015 16:50,Phase Angle B,31.34,deg,
214612653,214612653,ED021401463,07-09-2015 16:55,Phase Angle B,28.03,deg,
214612653,214612653,ED021401463,07-09-2015 17:00,Phase Angle B,26.32,deg,
214612653,214612653,ED021401463,07-09-2015 17:05,Phase Angle B,25.44,deg,
214612653,214612653,ED021401463,07-09-2015 17:10,Phase Angle B,33.37,deg,
214612653,214612653,ED021401463,07-09-2015 17:15,Phase Angle B,25.35,deg,
214612653,214612653,ED021401463,07-09-2015 17:20,Phase Angle B,23.23,deg,
