MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
210095893,210095893,ED031000001,31-08-2015 00:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 01:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 01:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 01:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 01:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 02:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 02:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 02:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 02:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 03:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 03:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 03:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 03:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 04:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 04:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 04:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 04:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 05:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 05:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 05:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 05:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 06:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 06:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 06:30,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 06:45,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 07:00,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 07:15,Import Wh Total,0,kwh,
210095893,210095893,ED031000001,31-08-2015 07:30,Import Wh Total,0,kwh,
